Date	Open	High	Low	Close	Volume	Vol2	MA1	MA2	MA3	MA4	MA5	MA6
2014/04/11	2278.0000	2284.8000	2261.6001	2272.0000	633463.00	432209231872	64479	2245.68	2200.98	2165.06	2153.653	2192.937	2283.288
2014/04/14	2272.0000	2282.3999	2260.6001	2272.3999	517711.00	352464896000	61767	2262.56	2213.72	2173.68	2156.933	2193.843	2282.133
2014/04/15	2276.0000	2278.6001	2226.0000	2236.8000	627712.00	422695993344	55540	2260.48	2223.06	2178.65	2159.367	2194.383	2280.537
2014/04/16	2233.6001	2252.0000	2222.3999	2233.0000	632172.00	424394194944	42395	2259.84	2230.52	2184.58	2161.473	2194.64	2278.592
2014/04/17	2243.0000	2246.6001	2223.3999	2229.0000	301671.00	202063003648	19552	2248.64	2235.92	2189.87	2164.12	2194.93	2276.783
2014/04/18	2225.0000	2228.0000	2201.0000	2221.3999	81838.00	54364807168	0	2238.52	2242.1	2196.86	2165.92	2195.1	2275.138
2014/04/21	2213.0000	2238.8000	2174.3999	2179.8000	729098.00	484268146688	75324	2220	2241.28	2198.67	2167.207	2195.05	2273.258
2014/04/22	2174.2000	2198.0000	2163.3999	2188.6001	718852.00	470583574528	71509	2210.36	2235.42	2200.56	2171.4	2195.117	2271.825
2014/04/23	2191.3999	2196.8000	2175.3999	2185.0000	619348.00	406118006784	70722	2200.76	2230.3	2202.18	2174.613	2194.76	2270.337
2014/04/24	2186.0000	2205.0000	2173.6001	2183.2000	680630.00	446402527232	70504	2191.6	2220.12	2203.69	2177.86	2193.57	2268.795
2014/04/25	2184.2000	2196.0000	2165.6001	2172.3999	744456.00	487221198848	69990	2181.8	2210.16	2205.57	2180.093	2192.373	2266.967
2014/04/28	2158.6001	2174.0000	2139.2000	2143.6001	625383.00	403475234816	75569	2174.56	2197.28	2205.5	2181.547	2190.57	2264.988
2014/04/29	2142.8000	2168.8000	2140.6001	2160.8000	552707.00	356625547264	70995	2169	2189.68	2206.37	2182.327	2189.467	2263.067
2014/04/30	2157.0000	2161.8000	2146.0000	2147.0000	419327.00	271278686208	67540	2161.4	2181.08	2205.8	2183.413	2188.07	2261.092
2014/05/05	2149.8000	2167.0000	2123.0000	2156.6001	638183.00	409866305536	69685	2156.08	2173.84	2204.88	2184.527	2186.68	2259.218
2014/05/06	2157.0000	2177.6001	2142.0000	2144.8000	632839.00	409527255040	72409	2150.56	2166.18	2204.14	2186.633	2185.773	2257.502
2014/05/07	2142.0000	2151.8000	2133.6001	2136.0000	573466.00	368708583424	72451	2149.04	2161.8	2201.54	2186.38	2184.463	2255.723
2014/05/08	2135.0000	2174.0000	2131.8000	2137.3999	772847.00	497985257472	69424	2144.36	2156.68	2196.05	2185.933	2182.413	2254.275
2014/05/09	2135.0000	2144.3999	2123.3999	2138.0000	668492.00	428267601920	66819	2142.56	2151.98	2191.14	2185.447	2180.09	2252.765
2014/05/12	2155.0000	2186.0000	2140.2000	2178.8000	758308.00	493346127872	60181	2147	2151.54	2185.83	2186.307	2178.337	2251.483
2014/05/13	2180.0000	2180.6001	2162.0000	2166.6001	440970.00	287344590848	51101	2151.36	2150.96	2180.56	2187.367	2176.557	2250.418
2014/05/14	2169.0000	2183.8000	2163.3999	2165.6001	423917.00	276033896448	34899	2157.28	2153.16	2175.22	2188.053	2174.51	2249.287
2014/05/15	2165.6001	2168.6001	2145.0000	2147.3999	158135.00	102349012992	18915	2159.28	2151.82	2170.75	2188.187	2171.877	2247.517
2014/05/16	2140.0000	2151.3999	2136.2000	2142.2000	60612.00	38990385152	0	2160.12	2151.34	2166.21	2187.647	2169.573	2245.238
2014/05/19	2126.2000	2130.6001	2089.0000	2099.6001	659420.00	416149405696	113846	2144.28	2145.64	2159.74	2185.133	2166.163	2242.608
2014/05/20	2117.0000	2120.0000	2096.3999	2099.3999	547236.00	345977913344	114365	2130.84	2141.1	2153.64	2183.127	2163.087	2239.852
2014/05/21	2096.0000	2128.0000	2082.0000	2119.2000	780967.00	494055817216	112989	2121.56	2139.42	2150.61	2180.833	2160.72	2237.39
2014/05/22	2124.8000	2155.0000	2113.2000	2114.2000	791189.00	506204979200	111045	2114.92	2137.1	2146.89	2176.4	2159.187	2234.948
2014/05/23	2115.8000	2143.6001	2115.6001	2143.2000	722236.00	460880314368	105268	2115.12	2137.62	2144.8	2173.3	2159.147	2232.89
2014/05/26	2147.3999	2163.8000	2135.6001	2148.2000	597112.00	384790069248	110203	2124.84	2134.56	2143.05	2168.74	2159.133	2230.867
2014/05/27	2149.2000	2154.8000	2137.6001	2142.2000	580418.00	373732868096	106654	2133.4	2132.12	2141.54	2164.413	2159.033	2228.532
2014/05/28	2142.0000	2174.3999	2123.0000	2173.8000	821515.00	529711890432	110648	2144.32	2132.94	2143.05	2161.127	2159.03	2226.242
2014/05/29	2175.3999	2178.6001	2149.2000	2153.3999	562944.00	365149192192	106745	2152.16	2133.54	2142.68	2158.347	2158.857	2223.712
2014/05/30	2152.8000	2165.8000	2142.6001	2147.8000	651611.00	421172281344	97582	2153.08	2134.1	2142.72	2155.507	2158.49	2221.332
2014/06/03	2158.0000	2162.3999	2138.2000	2139.2000	512440.00	330797678592	103254	2151.28	2138.06	2141.85	2152.513	2158.317	2218.728
2014/06/04	2139.2000	2142.6001	2112.2000	2125.2000	560374.00	357007261696	104577	2147.88	2140.64	2140.87	2149.307	2157.613	2215.753
2014/06/05	2125.0000	2155.3999	2120.6001	2149.6001	620330.00	397035831296	98668	2143.04	2143.68	2141.55	2148.3	2157.753	2212.968
2014/06/06	2152.6001	2153.6001	2112.8000	2125.6001	703915.00	449872953344	93018	2137.48	2144.82	2140.96	2146.2	2158.8	2210.123
2014/06/09	2126.0000	2153.8000	2115.3999	2128.2000	792366.00	507157184512	90282	2133.56	2143.32	2140.47	2144.307	2159.46	2207.347
2014/06/10	2130.0000	2159.8000	2125.3999	2157.6001	857837.00	551800733696	91667	2137.24	2144.26	2139.41	2143.453	2160.657	2204.81
2014/06/11	2156.6001	2157.3999	2144.2000	2151.2000	590002.00	380763013120	86941	2142.44	2145.16	2138.64	2142.747	2161.42	2202.562
2014/06/12	2148.6001	2158.6001	2145.2000	2150.3999	491061.00	316871180288	84436	2142.6	2142.82	2137.88	2142.973	2162.26	2200.377
2014/06/13	2148.0000	2187.0000	2128.2000	2177.2000	798035.00	519106887680	81915	2152.92	2145.2	2139.37	2143.52	2162.923	2198.402
2014/06/16	2181.0000	2200.0000	2173.6001	2186.6001	538040.00	352966279168	71323	2164.6	2149.08	2141.59	2144.84	2164.127	2196.91
2014/06/17	2188.2000	2188.3999	2170.6001	2173.0000	422578.00	276038189056	58210	2167.68	2152.46	2145.26	2145.387	2164.957	2195.37
2014/06/18	2173.3999	2179.6001	2162.0000	2164.2000	308959.00	201184018432	38661	2170.28	2156.36	2148.5	2146.033	2166.333	2193.67
2014/06/19	2165.3999	2169.6001	2123.3999	2135.6001	144323.00	93135560704	22173	2167.32	2154.96	2149.32	2146.02	2166.2	2191.958
2014/06/20	2132.8000	2138.8000	2124.0000	2130.0000	55177.00	35296722944	0	2157.88	2155.4	2150.11	2145.773	2165.853	2190.632
2014/06/23	2135.2000	2148.8000	2122.0000	2123.2000	585486.00	374906486784	122399	2145.2	2154.9	2149.11	2145.28	2165.363	2189.108
2014/06/24	2120.0000	2139.6001	2120.0000	2132.2000	566466.00	362141908992	116978	2137.04	2152.36	2148.31	2143.727	2165.017	2187.665
2014/06/25	2130.8000	2133.8000	2115.0000	2126.0000	545547.00	347567128576	118006	2129.4	2149.84	2147.5	2142.373	2164.87	2186.057
2014/06/26	2128.0000	2146.6001	2127.8000	2135.6001	619285.00	397454475264	115555	2129.4	2148.36	2145.59	2141.373	2164.713	2184.737
2014/06/27	2135.8000	2155.6001	2128.0000	2142.3999	581199.00	373078491136	109779	2131.88	2144.88	2145.04	2141.207	2164.697	2183.2
2014/06/30	2144.0000	2166.0000	2143.8000	2154.2000	594740.00	384699891712	109027	2138.08	2141.64	2145.36	2141.607	2164.627	2181.783
2014/07/01	2157.8000	2170.0000	2145.8000	2156.2000	517229.00	334382432256	110351	2142.88	2139.96	2146.21	2143.493	2164.313	2180.21
2014/07/02	2158.0000	2165.2000	2143.0000	2163.2000	616513.00	398694940672	111103	2150.32	2139.86	2148.11	2145.62	2164.373	2178.805
2014/07/03	2166.3999	2179.3999	2157.6001	2167.3999	645564.00	419879026688	109238	2156.68	2143.04	2149	2147.227	2164.03	2177.68
2014/07/04	2170.3999	2173.0000	2160.8000	2166.6001	463522.00	301250445312	103236	2161.52	2146.7	2151.05	2148.973	2162.687	2177.062
2014/07/07	2167.0000	2174.3999	2158.0000	2163.2000	475802.00	309060370432	104612	2163.32	2150.7	2152.8	2149.64	2161.47	2176.435
2014/07/08	2163.0000	2168.8000	2151.0000	2167.0000	532650.00	345305088000	103984	2165.48	2154.18	2153.27	2150.267	2159.503	2175.817
2014/07/09	2165.6001	2167.8000	2131.6001	2132.2000	561916.00	362855170048	107269	2159.28	2154.8	2152.32	2149.933	2157.173	2175.055
2014/07/10	2133.8000	2141.0000	2129.0000	2133.2000	379760.00	243356237824	104980	2152.44	2154.56	2151.46	2148.58	2154.853	2174.348
2014/07/11	2131.6001	2151.0000	2131.6001	2138.0000	547920.00	352185909248	94060	2146.72	2154.12	2149.5	2148.067	2153.207	2173.795
2014/07/14	2141.0000	2166.0000	2138.3999	2162.3999	528418.00	341265481728	82564	2146.56	2154.94	2148.29	2148.553	2152.03	2173.335
2014/07/15	2165.0000	2169.0000	2158.0000	2163.0000	416981.00	270675001344	71207	2145.76	2155.62	2147.79	2149.347	2150.93	2172.93
2014/07/16	2164.0000	2174.8000	2161.6001	2163.3999	435423.00	283087339520	56565	2152	2155.64	2147.75	2150.62	2149.963	2172.532
2014/07/17	2163.0000	2165.0000	2143.3999	2155.8000	264433.00	170818813952	28915	2156.52	2154.48	2148.76	2150.827	2149.563	2172.307
2014/07/18	2149.2000	2172.0000	2148.0000	2167.3999	86195.00	55899811840	0	2162.4	2154.56	2150.63	2152.22	2149.21	2172.163
2014/07/21	2160.2000	2165.8000	2150.3999	2157.3999	442089.00	286238441472	92679	2161.4	2153.98	2152.34	2153.193	2148.75	2171.755
2014/07/22	2157.0000	2196.6001	2151.0000	2186.3999	665843.00	435036258304	101106	2166.08	2155.92	2155.05	2154.153	2148.803	2171.187
2014/07/23	2188.3999	2207.3999	2182.0000	2190.6001	608231.00	400110977024	100723	2171.52	2161.76	2158.28	2155.467	2149.107	2170.74
2014/07/24	2190.8000	2242.8000	2190.0000	2240.3999	862759.00	575536496640	105592	2188.44	2172.48	2163.52	2158.467	2150.72	2170.645
2014/07/25	2243.8000	2279.6001	2238.8000	2274.6001	603892.00	407978016768	103623	2209.88	2186.14	2170.13	2161.713	2152.617	2171.042
